Training Data,Accuracy
6725,0.6573468173706127
13450,0.6573468173706127
20175,0.620464009518144
26900,0.6573468173706127
33625,0.6924449732302201
40350,0.7953599048185603
47075,0.6930398572278406
53800,0.8310529446757883
60525,0.6638905413444378
67250,0.7638310529446758
73975,0.6573468173706127
80700,0.825698988697204
87425,0.7537180249851279
94150,0.8405710886377157
100875,0.8417608566329565
107600,0.8304580606781677
114325,0.7858417608566329
121050,0.8370017846519928
127775,0.7055324211778703
134500,0.7572873289708507
141225,0.8465199286139203
147950,0.8429506246281975
154675,0.8417608566329565
161400,0.8209399167162403
168125,0.8370017846519928
174850,0.8381915526472338
181575,0.8459250446162998
188300,0.8060678167757287
195025,0.7543129089827484
201750,0.834622248661511
208475,0.843545508625818
215200,0.802498512790006
221925,0.8411659726353361
228650,0.8072575847709696
235375,0.8465199286139203
242100,0.8405710886377157
248825,0.8471148126115408
255550,0.8459250446162998
262275,0.8477096966091612
269000,0.8274836406900654
275725,0.7721594289113622
282450,0.8500892325996431
289175,0.8447352766210589
295900,0.7412254610350981
302625,0.8334324806662701
309350,0.8239143367043427
316075,0.809042236763831
322800,0.8465199286139203
329525,0.7180249851279
336250,0.8494943486020226
342975,0.8007138607971446
349700,0.8483045806067817
356425,0.8488994646044021
363150,0.8483045806067817
369875,0.8459250446162998
376600,0.726948245092207
383325,0.6918500892325996
390050,0.8465199286139203
396775,0.7983343248066627
403500,0.842355740630577
410225,0.8494943486020226
416950,0.7531231409875074
423675,0.8352171326591314
430400,0.8506841165972635
437125,0.8239143367043427
443850,0.8274836406900654
450575,0.8328375966686496
457300,0.8429506246281975
464025,0.8155859607376561
470750,0.8215348007138608
477475,0.8399762046400951
484200,0.8471148126115408
490925,0.835812016656752
497650,0.8488994646044021
504375,0.8477096966091612
511100,0.8381915526472338
517825,0.8488994646044021
524550,0.834622248661511
531275,0.8310529446757883
538000,0.8334324806662701
544725,0.8340273646638905
551450,0.8465199286139203
558175,0.8471148126115408
564900,0.8465199286139203
571625,0.8453301606186794
578350,0.8483045806067817
585075,0.8399762046400951
591800,0.8459250446162998
598525,0.8304580606781677
605250,0.809042236763831
611975,0.8447352766210589
618700,0.8465199286139203
625425,0.8096371207614516
632150,0.8227245687091017
638875,0.8405710886377157
645600,0.8161808447352766
652325,0.8251041046995836
659050,0.8471148126115408
665775,0.709101725163593
672500,0.8471148126115408
